,pkg_len,pkg_iat,pkt_dir
0,1436,13,-1
1,20,7,1
2,1053,30,-1
3,1440,438,-1
4,20,10,1
5,1439,25,-1
6,1439,6,-1
7,20,5,1
8,1440,18,-1
9,1426,4,-1
10,20,4,1
11,1440,14,-1
12,1439,6,-1
13,20,4,1
14,1136,12,-1
15,1434,10396,-1
16,20,39,1
17,1440,55,-1
18,1429,14,-1
19,20,12,1
20,1440,44,-1
21,960,10,-1
22,20,8,1
23,1440,115,-1
24,1440,20,-1
25,20,12,1
26,1229,31,-1
27,1408,16151,-1
28,20,27,1
29,1440,219,-1
30,1118,14,-1
31,20,8,1
32,561,430,1
33,20,75,-1
34,1434,35475,-1
35,1433,48,-1
36,20,16,1
37,1436,45,-1
38,1431,11,-1
39,20,6,1
40,1135,30,-1
41,1384,741,-1
42,20,17,1
43,1368,8492,-1
44,142,320,-1
45,20,51,1
46,1440,1893,-1
47,1383,16,-1
48,1432,12,-1
49,1423,7,-1
50,1214,5,-1
51,20,322,1
52,562,4799,1
53,20,165,-1
54,1437,13431,-1
55,1440,26,-1
56,20,10,1
57,1392,31,-1
58,1440,8,-1
59,20,6,1
60,1171,20,-1
61,1440,6,-1
62,20,6,1
63,1440,19,-1
64,1440,5,-1
65,20,5,1
66,1436,18,-1
67,1440,5,-1
68,20,5,1
69,1440,22,-1
70,1042,5,-1
71,20,5,1
72,1287,13,-1
73,20,6,1
74,1271,23,-1
75,1440,4,-1
76,20,4,1
77,1440,14,-1
78,1226,4,-1
79,20,4,1
80,1440,11,-1
81,1440,4,-1
82,20,3,1
83,1440,10,-1
84,1440,4,-1
85,20,6,-1
86,1440,9,-1
87,1397,4,-1
88,20,20,1
89,578,603,1
90,20,50,-1
91,563,7327,1
92,20,134,-1
93,556,727,1
94,20,172,-1
95,574,294,1
96,1440,16,-1
97,20,11,1
98,1440,35,-1
99,1193,11,-1
100,20,7,1
101,1440,31,-1
102,1105,7,-1
103,20,7,1
104,1429,23581,-1
105,1440,53,-1
106,20,21,1
107,1097,49,-1
108,1440,784,-1
109,20,22,1
110,1439,58,-1
111,1440,13,-1
112,20,10,1
113,1440,37,-1
114,1425,10,-1
115,20,8,1
116,1061,30,-1
117,1431,18156,-1
118,20,43,1
119,1440,65,-1
120,1425,12,-1
121,20,11,1
122,1440,42,-1
123,1440,11,-1
124,20,11,1
125,893,29,-1
126,562,1109,1
127,20,211,-1
128,1430,2829,1
129,146,157,1
130,20,162,-1
131,336,50429,-1
132,20,41311,1
133,1440,38495,-1
134,1418,38,-1
135,20,15,1
136,1435,48,-1
137,1440,14,-1
138,20,9,1
139,986,34,-1
140,1440,9,-1
141,20,7,1
142,1317,30,-1
143,1424,1183,-1
144,889,5,-1
145,20,6,1
146,1440,20,-1
147,1440,5,-1
148,1377,3,-1
149,1388,3,-1
150,1440,4,-1
151,1339,4,-1
152,20,199,1
153,573,601,1
154,20,108,-1
155,1440,3862,-1
156,1429,26,-1
157,20,10,1
158,1439,50,-1
159,1435,14,-1
160,20,8,1
161,1440,33,-1
162,1431,10,-1
163,20,6,1
164,1140,32,-1
165,1439,11,-1
166,20,8,1
167,1440,29,-1
168,1436,5,-1
169,1435,5,-1
170,1436,4,-1
171,1438,4,-1
172,1433,6,-1
173,1438,5,-1
174,1342,4,-1
175,20,69,1
176,550,305,1
177,20,100,-1
178,1440,527,-1
179,1423,15,-1
180,1434,9,-1
181,1439,6,-1
182,1405,6,-1
183,1436,5,-1
184,899,3,-1
185,20,216,1
186,1438,367,-1
187,1344,8,-1
188,20,8,1
189,565,961,1
190,20,96,-1
191,1428,2040,-1
192,1440,109,-1
193,1426,12,-1
194,20,8,1
195,1440,44,-1
196,1440,11,-1
197,20,7,1
198,1440,27,-1
199,1165,7,-1
200,20,7,1
201,1079,33,-1
202,1439,12,-1
203,20,8,1
204,1440,32,-1
205,1440,10,-1
206,20,7,1
207,1438,29,-1
208,1145,9,-1
209,20,313,1
210,1439,37835,-1
211,1404,44,-1
212,20,17,1
213,1290,70,-1
214,569,1428,1
215,20,159,-1
216,1440,60,-1
217,1432,11,-1
218,20,9,1
219,1434,37,-1
220,1110,10,-1
221,20,289,1
222,1434,25033,-1
223,1434,32,-1
224,20,16,1
225,1437,57,-1
226,1141,16,-1
227,20,11,1
228,1440,52,-1
229,1439,11,-1
230,20,10,1
231,1434,42,-1
232,1440,10,-1
233,20,8,1
234,1434,43,-1
235,1440,12,-1
236,1398,9,-1
237,1421,9,-1
238,1338,9,-1
239,20,332,1
240,464,428,1
241,20,104,-1
242,562,221,1
243,20,78,-1
244,1406,8764,-1
245,1440,99,-1
246,20,14,1
247,1440,20,-1
248,1435,2,-1
249,20,1,1
250,1420,2,-1
251,1435,0,-1
252,20,0,-1
253,1440,1,-1
254,1434,1,-1
255,20,2,1
256,1084,3,-1
257,1437,1,-1
258,20,1,1
259,1440,3,-1
260,1435,1,-1
261,20,1,1
262,1439,5,-1
263,1440,2,-1
264,1440,12,-1
265,20,8,1
266,1433,24,-1
267,1117,8,-1
268,20,4,1
269,1437,27967,-1
270,1429,34,-1
271,20,12,1
272,1440,52,-1
273,1181,9,-1
274,20,6,1
275,1440,24,-1
276,1384,9,-1
277,20,6,1
278,1223,21,-1
279,1440,939,-1
280,20,21,1
281,1440,43,-1
282,1440,10,-1
283,20,9,1
284,1440,27,-1
285,1195,8,-1
286,20,5,1
287,1437,11345,-1
288,1437,14,-1
289,20,12,1
290,1242,39,-1
291,563,1172,1
292,20,199,-1
293,1440,1291,-1
294,1209,12,-1
295,20,7,1
296,1440,648,-1
297,1431,12,-1
298,20,7,1
299,1211,28,-1
300,1440,886,-1
301,20,17,1
302,1440,32,-1
303,1434,8,-1
304,20,8,1
305,1440,32,-1
306,1044,10,-1
307,20,6,1
308,1440,1214,-1
309,1440,10,-1
310,20,7,1
311,1413,25,-1
312,1440,56616,-1
313,1428,51,-1
314,20,18,1
315,1440,41,-1
316,1341,8,-1
317,20,8,1
318,1437,32,-1
319,1430,11,-1
320,20,6,1
321,1440,22,-1
322,697,8,-1
323,20,4,1
324,567,7343,1
325,20,162,-1
326,564,2188,1
327,20,118,-1
328,1440,7331,-1
329,1400,20,-1
330,20,9,1
331,1215,42,-1
332,970,3928,1
333,20,264,-1
334,566,177,1
335,20,123,-1
336,1277,13,-1
337,20,11,1
338,1428,4613,-1
339,1436,45,-1
340,20,15,1
341,1066,40,-1
342,20,46889,1
343,1393,3148,-1
344,20,58,1
345,1433,530,-1
346,1433,24,-1
347,20,13,1
348,1440,51,-1
349,989,12,-1
350,20,8,1
351,1435,4354,-1
352,1436,24,-1
353,20,11,1
354,1234,38,-1
355,1434,482,-1
356,20,18,1
357,1320,47,-1
358,1424,330,-1
359,20,62,1
360,20,6,1
361,1139,48,-1
362,20,41077,1
363,1354,6520,-1
364,1437,650,-1
365,20,26,1
366,1420,59,-1
367,1439,16,-1
368,20,11,1
369,1439,46,-1
370,1431,12,-1
371,20,9,1
372,1175,35,-1
373,1440,11,-1
374,20,9,1
375,1035,38,-1
