pkg_len,pkg_iat,pkt_dir
1436,13,-1
20,7,1
1053,30,-1
1440,438,-1
20,10,1
1439,25,-1
1439,6,-1
20,5,1
1440,18,-1
1426,4,-1
20,4,1
1440,14,-1
1439,6,-1
20,4,1
1136,12,-1
1434,10398,-1
20,39,1
1440,55,-1
1429,14,-1
20,12,1
1440,44,-1
960,10,-1
20,8,1
1440,115,-1
1440,20,-1
20,12,1
1229,31,-1
1408,16153,-1
20,27,1
1440,219,-1
1118,14,-1
20,8,1
561,430,1
20,75,-1
1434,35461,-1
1433,48,-1
20,16,1
1436,45,-1
1431,11,-1
20,6,1
1135,30,-1
1384,741,-1
20,17,1
1368,8493,-1
142,320,-1
20,51,1
1440,1892,-1
1383,16,-1
1432,12,-1
1423,7,-1
1214,5,-1
20,322,1
562,4799,1
20,165,-1
1437,13431,-1
1440,26,-1
20,10,1
1392,31,-1
1440,8,-1
20,6,1
1171,20,-1
1440,6,-1
20,6,1
1440,19,-1
1440,5,-1
20,5,1
1436,18,-1
1440,5,-1
20,5,1
1440,22,-1
1042,5,-1
20,5,1
1287,13,-1
20,6,1
1271,23,-1
1440,4,-1
20,4,1
1440,14,-1
1226,4,-1
20,4,1
1440,11,-1
1440,4,-1
20,3,1
1440,10,-1
1440,4,-1
20,6,-1
1440,9,-1
1397,4,-1
20,20,1
578,603,1
20,50,-1
563,7323,1
20,134,-1
556,727,1
20,172,-1
574,294,1
1440,16,-1
20,11,1
1440,35,-1
1193,11,-1
20,7,1
1440,31,-1
1105,7,-1
20,7,1
1429,23580,-1
1440,53,-1
20,21,1
1097,49,-1
1440,784,-1
20,22,1
1439,58,-1
1440,13,-1
20,10,1
1440,37,-1
1425,10,-1
20,8,1
1061,30,-1
1431,18169,-1
20,43,1
1440,65,-1
1425,12,-1
20,11,1
1440,42,-1
1440,11,-1
20,11,1
893,29,-1
562,1110,1
20,211,-1
1430,2830,1
146,157,1
20,162,-1
336,50421,-1
20,41307,1
1440,38502,-1
1418,38,-1
20,15,1
1435,48,-1
1440,14,-1
20,9,1
986,34,-1
1440,9,-1
20,7,1
1317,30,-1
1424,1183,-1
889,5,-1
20,6,1
1440,20,-1
1440,5,-1
1377,3,-1
1388,3,-1
1440,4,-1
1339,4,-1
20,199,1
573,601,1
20,108,-1
1440,3862,-1
1429,26,-1
20,10,1
1439,50,-1
1435,14,-1
20,8,1
1440,33,-1
1431,10,-1
20,6,1
1140,32,-1
1439,11,-1
20,8,1
1440,29,-1
1435,5,-1
1435,5,-1
1436,4,-1
1438,4,-1
1433,6,-1
1438,5,-1
1342,4,-1
20,69,1
550,305,1
20,100,-1
1440,527,-1
1423,15,-1
1434,9,-1
1439,6,-1
1405,6,-1
1436,5,-1
899,3,-1
20,216,1
1438,367,-1
1344,8,-1
20,8,1
565,961,1
20,96,-1
1428,2040,-1
1440,109,-1
1426,12,-1
20,8,1
1440,44,-1
1440,11,-1
20,7,1
1440,27,-1
1165,7,-1
20,7,1
1079,33,-1
1439,12,-1
20,8,1
1440,32,-1
1440,10,-1
20,7,1
1438,29,-1
1145,9,-1
20,313,1
1439,37850,-1
1404,44,-1
20,17,1
1290,70,-1
569,1428,1
20,159,-1
1440,60,-1
1432,11,-1
20,9,1
1434,37,-1
1110,10,-1
20,289,1
1434,25033,-1
1434,32,-1
20,16,1
1437,57,-1
1141,16,-1
20,11,1
1440,52,-1
1439,11,-1
20,10,1
1434,42,-1
1440,10,-1
20,8,1
1433,43,-1
1440,12,-1
1398,9,-1
1421,9,-1
1338,9,-1
20,332,1
464,428,1
20,104,-1
562,221,1
20,78,-1
1406,8769,-1
1440,99,-1
20,14,1
1440,20,-1
1435,2,-1
20,1,1
1420,2,-1
1435,0,-1
20,0,-1
1440,1,-1
1434,1,-1
20,2,1
1085,3,-1
1437,1,-1
20,1,1
1440,3,-1
1435,1,-1
20,1,1
1439,5,-1
1440,2,-1
1440,12,-1
20,8,1
1433,24,-1
1117,8,-1
20,4,1
1437,27967,-1
1429,34,-1
20,12,1
1440,52,-1
1181,9,-1
20,6,1
1440,24,-1
1384,9,-1
20,6,1
1223,21,-1
1440,939,-1
20,21,1
1440,43,-1
1440,10,-1
20,9,1
1440,27,-1
1195,8,-1
20,5,1
1437,11345,-1
1437,14,-1
20,12,1
1242,39,-1
563,1172,1
20,199,-1
1440,1292,-1
1209,12,-1
20,7,1
1440,648,-1
1431,12,-1
20,7,1
1211,28,-1
1440,886,-1
20,17,1
1440,32,-1
1434,8,-1
20,8,1
1440,32,-1
1044,10,-1
20,6,1
1440,1215,-1
1440,10,-1
20,7,1
1413,25,-1
1440,56684,-1
1428,51,-1
20,18,1
1440,41,-1
1341,8,-1
20,8,1
1437,32,-1
1430,11,-1
20,6,1
1440,22,-1
697,8,-1
20,4,1
567,7339,1
20,162,-1
564,2189,1
20,118,-1
1440,7331,-1
1400,20,-1
20,10,1
1215,42,-1
970,3928,1
20,264,-1
566,177,1
20,123,-1
1277,13,-1
20,11,1
1428,4614,-1
1436,45,-1
20,15,1
1066,40,-1
20,46879,1
1393,3149,-1
20,58,1
1434,530,-1
1433,24,-1
20,13,1
1440,51,-1
989,12,-1
20,8,1
1435,4352,-1
1436,24,-1
20,11,1
1234,38,-1
1434,481,-1
20,18,1
1320,47,-1
1423,330,-1
20,62,1
20,6,1
1139,48,-1
20,41077,1
